full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"Subcontractor bid for condensing high-efficiency boiler 95% AFUE. Location: for mechanical room boiler plant. Includes gas piping, venting and combustion air provisions.",23,70,23 70,subcontractor bid condense high efficiency boiler afue location mechanical room boiler plant include gas piping venting combustion air provision,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
SCOPE OF WORK DESCRIPTION: Supply and install evaporative condenser for refrigeration for building central cooling plant. Factory startup and commissioning by manufacturer representative. per ASHRAE 90.1 minimum efficiency requirements.,23,60,23 60,scope work description supply install evaporative condenser refrigeration build central cool plant factory startup commission manufacturer representative ashrae minimum efficiency requirement,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"VENDOR SUBMITTAL: Material submittal for vegetated green roof assembly with drainage mat. Insulation R-30 minimum per energy code, tapered for drainage. Refer to per NRCA roofing guidelines.",07,50,07 50,vendor submittal material submittal vegetate green roof assembly drainage mat insulation r minimum energy code taper drainage refer nrca roofing guideline,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
Furnish and install drinking fountain / bottle filler combo unit as indicated on drawings and per project specification Section 22 40 00. All fixtures to be water-efficient per WaterSense label.,22,40,22 40,furnish install drink fountain bottle filler combo unit indicate drawing project specification section fixture water efficient watersense label,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Furnish and install hot water circulating pump and piping as indicated on drawings and per local mechanical and fuel gas code. Factory startup required by manufacturer certified technician.,23,70,23 70,furnish install hot water circulating pump piping indicate drawing local mechanical fuel gas code factory startup require manufacturer certify technician,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
"Subcontractor bid for post-tensioning tendons and anchors. Location: for foundation mat and footings. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs.",03,20,03 20,subcontractor bid post tensione tendon anchor location foundation mat footing minimum concrete cover inch footing inch slab,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Proposal for supply and installation of raised access flooring system 6-inch pedestal for gymnasium and multipurpose room. Transition strips at all flooring material changes.,09,60,09 60,proposal supply installation raise access floor system inch pedestal gymnasium multipurpose room transition strip floor material change,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Request for approval: wall-mounted urinal with flush valve for use for public restrooms per fixture schedule. All fixtures to be water-efficient per WaterSense label. per project specification Section 22 40 00.,22,40,22 40,request approval wall mount urinal flush valve use public restroom fixture schedule fixture water efficient watersense label project specification section,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
SCOPE OF WORK DESCRIPTION: This submittal covers the supply and installation of 5/8-inch Type X gypsum board for fire-rated partitions for fire-rated corridor and stairwell assemblies. All work to comply with per UL listed assembly design number. Includes acoustic sealant at top and bottom tracks.,09,20,09 20,scope work description submittal cover supply installation inch type x gypsum board fire rat partition fire rat corridor stairwell assembly work comply ul list assembly design number include acoustic sealant track,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
"Subject: Material Submittal – Provide all labor, materials and equipment for fixed aluminum picture windows for high-rise building perimeter. per energy code and ASHRAE 90.1 requirements. Windows to be factory-assembled and glazed.",08,50,08 50,subject material submittal provide labor material equipment fix aluminum picture window high rise building perimeter energy code ashrae requirement window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Supply and install ADA-compliant accessible plumbing fixtures for commercial kitchen and break rooms. All fixtures to be water-efficient per WaterSense label. per ADA and ICC/ANSI A117.1 accessibility standard.,22,40,22 40,supply install ada compliant accessible plumbing fixture commercial kitchen break room fixture water efficient watersense label ada icc ansi accessibility standard,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Furnish and install post-tensioning tendons and anchors as indicated on drawings and per CRSI Manual of Standard Practice. Lap splices per ACI 318 development length requirements.,03,20,03 20,furnish install post tensione tendon anchor indicate drawing crsi manual standard practice lap splice aci development length requirement,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Furnish and install bird-friendly fritted glass panels as indicated on drawings and per project specification Section 08 80 00. Insulated units with warm-edge spacer and argon gas fill.,08,80,08 80,furnish install bird friendly fritt glass panel indicate drawing project specification section insulate unit warm edge spacer argon gas fill,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
"Subject: Material Submittal – Scope of work includes supply and installation of backflow preventer and pressure reducing valve for building domestic water distribution system. Includes core drilling, firestopping and sleeve installation.",22,10,22 10,subject material submittal scope work include supply installation backflow preventer pressure reduce valve build domestic water distribution system include core drilling firestoppe sleeve installation,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
Furnish and install VRF (variable refrigerant flow) outdoor condensing units as indicated on drawings and per project specification Section 23 60 00. Vibration isolation pads and curb adapter included.,23,60,23 60,furnish install vrf variable refrigerant flow outdoor condense unit indicate drawing project specification section vibration isolation pad curb adapter include,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
Supply and install emergency eyewash and shower station for janitor closets and service areas. Fixtures to be white vitreous china unless noted otherwise. per ASME A112.19.2 for vitreous china fixtures.,22,40,22 40,supply install emergency eyewash shower station janitor closet service area fixture white vitreous china note asme vitreous china fixture,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Scope of work includes fabrication and placement of reinforcing bar couplers (mechanical splices) for concrete columns and beams. Lap splices per ACI 318 development length requirements.,03,20,03 20,scope work include fabrication placement reinforce bar coupler mechanical splice concrete column beam lap splice aci development length requirement,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
RE: HVAC Air Distribution – Request for approval: supply air diffusers and return air grilles for use for rooftop air handling unit connections. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per project specification Section 23 30 00.,23,30,23 30,hvac air distribution request approval supply air diffuser return air grille use rooftop air handling unit connection insulation inch fiberglass duct wrap vapor barrier project specification section,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
"Supply and install domestic water booster pump station for sanitary sewer and storm drain piping. Pipe connections: soldered for copper, solvent welded for PVC. per ASME B31.9 building services piping.",22,10,22 10,supply install domestic water booster pump station sanitary sewer storm drain piping pipe connection solder copper solvent weld pvc asme b building service pip,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
"Request for approval: copper Type L water supply piping and fittings for use for sanitary sewer and storm drain piping. Pipe connections: soldered for copper, solvent welded for PVC. per project specification Section 22 10 00.",22,10,22 10,request approval copper type l water supply piping fitting use sanitary sewer storm drain piping pipe connection solder copper solvent weld pvc project specification section,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
"Vendor submittal: steel fixed-lite windows for industrial. Includes all sealants, flashing and perimeter caulking. per project specification Section 08 50 00.",08,50,08 50,vendor submittal steel fix lite window industrial include sealant flash perimeter caulking project specification section,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Subject: Material Submittal – Supply and install grounding and bonding system with ground rods for underground electrical duct bank to building. As-built drawings required showing all concealed raceway routing. per NECA installation standards.,26,05,26 05,subject material submittal supply install grounding bonding system ground rod underground electrical duct bank building build drawing require show conceal raceway routing neca installation standard,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
"Subject: Material Submittal – Furnish and install vinyl casement windows with Low-E glass as indicated on drawings and per approved window schedule and shop drawings. Includes all sealants, flashing and perimeter caulking.",08,50,08 50,subject material submittal furnish install vinyl casement window low e glass indicate drawing approve window schedule shop drawing include sealant flash perimeter caulking,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"Supply and install grounding and bonding system with ground rods for grounding electrode system per NEC. Includes all supports, straps and seismic bracing. per NECA installation standards.",26,05,26 05,supply install ground bonding system ground rod ground electrode system nec include support strap seismic bracing neca installation standard,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Material submittal for raised access flooring system 6-inch pedestal. Transition strips at all flooring material changes. Refer to per ASTM F710 for substrate preparation.,09,60,09 60,material submittal raise access floor system inch pedestal transition strip floor material change refer astm f substrate preparation,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"SCOPE OF WORK DESCRIPTION: Provide all labor, materials and equipment for steel pipe bollards with concrete fill for interior and exterior metal railings. per architectural detail drawings. All exposed steel to be hot-dip galvanized after fabrication.",05,50,05 50,scope work description provide labor material equipment steel pipe bollard concrete fill interior exterior metal railing architectural detail drawing expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Subject: Material Submittal – Request for approval: rubber athletic flooring for gymnasium for use for gymnasium and multipurpose room. Moisture testing required per ASTM F2170 before installation. per project specification Section 09 60 00.,09,60,09 60,subject material submittal request approval rubber athletic flooring gymnasium use gymnasium multipurpose room moisture testing require astm f installation project specification section,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
delivery and installation of automatic sensor faucets and flush valves including all necessary accessories and hardware. per project specification Section 22 40 00.,22,40,22 40,delivery installation automatic sensor faucet flush valve include necessary accessory hardware project specification section,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Supply and install rubber athletic flooring for gymnasium for gymnasium and multipurpose room. Base: 4-inch rubber or tile cove base at all walls. per manufacturer installation instructions.,09,60,09 60,supply install rubber athletic flooring gymnasium gymnasium multipurpose room base inch rubber tile cove base wall manufacturer installation instruction,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
BID ITEM: Proposal for supply and installation of electric resistance duct heater for building central heating system. Boiler efficiency exceeds ASHRAE 90.1 minimum requirement.,23,70,23 70,bid item proposal supply installation electric resistance duct heater build central heating system boiler efficiency exceed ashrae minimum requirement,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
Request for approval: wall-hung lavatory sink with faucet for use for laboratory and medical exam rooms. Fixtures to be white vitreous china unless noted otherwise. per ADA and ICC/ANSI A117.1 accessibility standard.,22,40,22 40,request approval wall hung lavatory sink faucet use laboratory medical exam room fixture white vitreous china note ada icc ansi accessibility standard,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Supply and install wired glass for fire-rated openings for building lobby and atrium glazing. Insulated units with warm-edge spacer and argon gas fill. per ASTM C1048 for flat glass specifications.,08,80,08 80,supply install wire glass fire rat opening build lobby atrium glazing insulate unit warm edge spacer argon gas fill astm c flat glass specification,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Vendor submittal: radiant ceiling panel heating system. Controls integrated with building automation system (BAS). per local mechanical and fuel gas code.,23,70,23 70,vendor submittal radiant ceiling panel heating system control integrate building automation system bas local mechanical fuel gas code,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
RE: Glazing – This submittal covers the glazing of 1-inch insulated glazing units (IGU) Low-E coated for canopy and skylight overhead glazing. All work to comply with per IGCC standards for insulating glass. Mock-up panel required for architect approval before production.,08,80,08 80,glaze submittal cover glazing inch insulate glazing unit igu low e coat canopy skylight overhead glaze work comply igcc standard insulate glass mock panel require architect approval production,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Supply and install fire-rated glazing assemblies 60-minute for fire-rated glazing at rated corridors. Insulated units with warm-edge spacer and argon gas fill. per ASTM C1048 for flat glass specifications.,08,80,08 80,supply install fire rat glazing assembly minute fire rat glazing rat corridor insulate unit warm edge spacer argon gas fill astm c flat glass specification,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
furnishing and piping of condensing high-efficiency boiler 95% AFUE including all necessary accessories and hardware. per ASME Boiler and Pressure Vessel Code for boilers.,23,70,23 70,furnish piping condense high efficiency boiler afue include necessary accessory hardware asme boiler pressure vessel code boiler,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
Vendor submittal: self-consolidating concrete (SCC). Portland cement Type I/II with 3/4 inch maximum aggregate. per approved concrete mix design.,03,30,03 30,vendor submittal self consolidate concrete scc portland cement type ii inch maximum aggregate approve concrete mix design,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Vendor submittal: metal roof deck 1.5-inch Type B 22 gauge. Deck to be welded to supports at 12 inches on center. per project specification Section 05 30 00.,05,30,05 30,vendor submittal metal roof deck inch type b gauge deck weld support inch center project specification section,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Supply and install steel dumpster enclosure frame for interior and exterior metal railings. Includes all anchors, fasteners and connection hardware. per project specification Section 05 50 00.",05,50,05 50,supply install steel dumpster enclosure frame interior exterior metal railing include anchor fastener connection hardware project specification section,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
