full_item,stage1_code,stage1_name,stage2_code,stage2_name,stage1_label,stage2_label
"Subcontractor bid for condensing high-efficiency boiler 95% AFUE. Location: for mechanical room boiler plant. Includes gas piping, venting and combustion air provisions.",23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
SCOPE OF WORK DESCRIPTION: Supply and install evaporative condenser for refrigeration for building central cooling plant. Factory startup and commissioning by manufacturer representative. per ASHRAE 90.1 minimum efficiency requirements.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"VENDOR SUBMITTAL: Material submittal for vegetated green roof assembly with drainage mat. Insulation R-30 minimum per energy code, tapered for drainage. Refer to per NRCA roofing guidelines.",07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
Furnish and install drinking fountain / bottle filler combo unit as indicated on drawings and per project specification Section 22 40 00. All fixtures to be water-efficient per WaterSense label.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Furnish and install hot water circulating pump and piping as indicated on drawings and per local mechanical and fuel gas code. Factory startup required by manufacturer certified technician.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
"Subcontractor bid for post-tensioning tendons and anchors. Location: for foundation mat and footings. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs.",03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Proposal for supply and installation of raised access flooring system 6-inch pedestal for gymnasium and multipurpose room. Transition strips at all flooring material changes.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Request for approval: wall-mounted urinal with flush valve for use for public restrooms per fixture schedule. All fixtures to be water-efficient per WaterSense label. per project specification Section 22 40 00.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
SCOPE OF WORK DESCRIPTION: This submittal covers the supply and installation of 5/8-inch Type X gypsum board for fire-rated partitions for fire-rated corridor and stairwell assemblies. All work to comply with per UL listed assembly design number. Includes acoustic sealant at top and bottom tracks.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Subject: Material Submittal – Provide all labor, materials and equipment for fixed aluminum picture windows for high-rise building perimeter. per energy code and ASHRAE 90.1 requirements. Windows to be factory-assembled and glazed.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
